"source","target"
1451598,246844
1451598,248514
1451598,251071
1451598,251742
1451598,252642
1451598,252658
1451598,258293
1451598,258672
1451598,258686
1451598,278424
1451598,319323
1451598,367234
1451598,372063
1451598,376498
1451598,393519
1451598,403109
1451598,429514
1451598,453314
1451598,490915
1451598,547562
1451598,601263
1451598,681981
1451598,778867
1451598,782686
1451598,853619
1451598,915649
1451598,1156954
1451598,1165238
1451598,1181550
1451598,1224966
1451598,1349604
1451598,1441372
1451598,1454809
1451598,1503154
1451598,1577367
1451598,1644932
1451598,1681003
1451598,1694221
1451598,1716024
1451598,1727639
1451598,1729626
1451598,1844469
1451598,1880689
1451598,1920257
1451598,1959696
1451598,2374457
1451598,2513990
1451598,2572257
1451598,2576709
1451598,2845853
1451598,2897483
1451598,3170635
1451598,3250296
1451598,3580918
1451598,3706574
1451598,3924641
1451598,3930527
1451598,4248300
1451598,4591395
1451598,5455929
1451598,5941366
1451598,7404183
1451598,7947951
1451598,8402204
1454809,1451598
1451598,4248300
1451598,83791
1452745,83791
1454388,211630
1454401,3062719
1458107,94363
1463558,1451598
1464031,83791
1481821,1425554
1465536,1637156
1485793,4985099
1493157,94363
1509343,248515
1494384,1451598
1502473,83791
1507128,1234704
1495921,2337662
1528268,94363
1530219,1451598
1527199,83791
1535371,211630
1556959,94363
1571954,94363
1556959,234670
1568238,248515
1591511,94363
1594263,94363
1592573,1451598
1576167,83791
1576395,83791
1580026,83791
1580460,83791
1586860,83791
1576167,168661
1576167,257433
1576167,829426
1576167,1016956
1576167,1016956
1590035,1386919
1614488,94363
1597283,1451598
1601613,583987
1631799,131550
1631799,94363
1631799,83791
1631799,664457
1631799,2120879
1631799,2337662
1634807,2337662
1631799,2630812
1631799,4966088
1640412,184154
1640412,94363
1640412,83791
1640412,148163
1637156,10068
1637156,436115
1637156,2632851
1637156,2954136
1637156,7352821
1637156,2954136
1640412,1451598
1640412,1369349
1640412,1690940
1640412,2026123
1640412,2121380
1640412,2228965
1640412,2337662
1640412,2630812
1640412,3247942
1640412,3400072
1640412,3626872
1640412,3803575
1640412,4966088
1640412,4985099
1644932,184154
1644932,131550
1644932,234670
